시간,강화수위,통일수위
2022-12-01 0:00,1.36,0.1
2022-12-01 0:10,1.26,0.27
2022-12-01 0:20,1.14,0.43
2022-12-01 0:30,1.03,0.61
2022-12-01 0:40,0.91,0.76
2022-12-01 0:50,0.79,0.89
2022-12-01 1:00,0.67,1
2022-12-01 1:10,0.55,1.07
2022-12-01 1:20,0.43,1.1
2022-12-01 1:30,0.31,1.09
2022-12-01 1:40,0.19,1.04
2022-12-01 1:50,0.06,0.96
2022-12-01 2:00,-0.04,0.88
2022-12-01 2:10,-0.15,0.81
2022-12-01 2:20,-0.26,0.76
2022-12-01 2:30,-0.38,0.69
2022-12-01 2:40,-0.49,0.63
2022-12-01 2:50,-0.61,0.58
2022-12-01 3:00,-0.72,0.53
2022-12-01 3:10,-0.83,0.48
2022-12-01 3:20,-0.95,0.43
2022-12-01 3:30,-1.06,0.38
2022-12-01 3:40,-1.16,0.33
2022-12-01 3:50,-1.28,0.28
2022-12-01 4:00,-1.38,0.24
2022-12-01 4:10,-1.49,0.19
2022-12-01 4:20,-1.59,0.15
2022-12-01 4:30,-1.69,0.11
2022-12-01 4:40,-1.78,0.06
2022-12-01 4:50,-1.87,0.03
2022-12-01 5:00,-1.97,0
2022-12-01 5:10,-2.05,-0.03
2022-12-01 5:20,-2.14,-0.07
2022-12-01 5:30,-2.22,-0.1
2022-12-01 5:40,-2.3,-0.13
2022-12-01 5:50,-2.36,-0.16
2022-12-01 6:00,-2.44,-0.19
2022-12-01 6:10,-2.49,-0.22
2022-12-01 6:20,-2.55,-0.24
2022-12-01 6:30,-2.6,-0.27
2022-12-01 6:40,-2.64,-0.29
2022-12-01 6:50,-2.65,-0.31
2022-12-01 7:00,-2.65,-0.33
2022-12-01 7:10,-2.59,-0.35
2022-12-01 7:20,-2.49,-0.37
2022-12-01 7:30,-2.39,-0.39
2022-12-01 7:40,-2.24,-0.4
2022-12-01 7:50,-2.12,-0.42
2022-12-01 8:00,-2.02,-0.44
2022-12-01 8:10,-1.93,-0.45
2022-12-01 8:20,-1.85,-0.46
2022-12-01 8:30,-1.72,-0.47
2022-12-01 8:40,-1.58,-0.48
2022-12-01 8:50,-1.42,-0.49
2022-12-01 9:00,-1.27,-0.51
2022-12-01 9:10,-1.11,-0.52
2022-12-01 9:20,-0.94,-0.53
2022-12-01 9:30,-0.77,-0.54
2022-12-01 9:40,-0.59,-0.55
2022-12-01 9:50,-0.43,-0.55
2022-12-01 10:00,-0.26,-0.56
2022-12-01 10:10,-0.09,-0.57
2022-12-01 10:20,0.06,-0.58
2022-12-01 10:30,0.22,-0.58
2022-12-01 10:40,0.36,-0.59
2022-12-01 10:50,0.5,-0.6
2022-12-01 11:00,0.62,-0.6
2022-12-01 11:10,0.72,-0.61
2022-12-01 11:20,0.8,-0.61
